transect	resp	date	coef	mode	d.chenal	d.mer	alt	surf	p.roc	p.moul	p.huit	p.bala	p.alg	p.encr	p.eau	s.flaq	d.flaq	Bitret	Gibcin	Gibsp.	Gibtum	Litlit	Litobt	Litrud	Litsax	Monlin	Nasinc	Naspyg	Nasret	Oceeri	Patsp.	Rispar	Thalap
a30	morgane.milin	21septembre2017	99	a	30	45	1.2	0.20	60	0	0	0	10	5	80	NA	NA	0	11	12	0	0	0	0	0	0	0	0	0	0	0	0	0
a30	morgane.milin	21septembre2017	99	a	30	45	1.2	0.20	20	0	2	10	30	10	25	NA	NA	0	6	4	0	0	0	0	0	0	0	0	0	0	1	0	0
a30	morgane.milin	21septembre2017	99	a	30	45	1.2	0.22	50	0	0	10	100	NA	80	NA	NA	0	5	2	0	0	0	0	0	0	0	0	0	0	1	0	0
a30	morgane.milin	21septembre2017	99	a	30	40	1.8	0.22	100	0	10	90	10	5	0	NA	NA	0	0	66	0	1	0	0	0	0	0	0	0	0	14	0	1
a30	morgane.milin	21septembre2017	99	a	30	40	1.8	0.25	100	0	15	70	30	15	0	NA	NA	0	0	20	0	2	0	0	0	1	0	0	0	0	7	0	8
a30	morgane.milin	21septembre2017	99	a	30	40	1.8	0.22	100	0	5	60	0	0	0	NA	NA	0	0	25	0	2	0	0	0	0	0	0	0	1	0	0	5
a30	morgane.milin	21septembre2017	99	a	30	35	1.5	0.20	100	0	1	5	40	NA	0	NA	NA	0	0	16	0	0	0	0	0	0	0	0	0	0	5	0	0
a30	morgane.milin	21septembre2017	99	a	30	35	1.5	0.22	45	0	0	0	60	10	80	NA	NA	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
a30	morgane.milin	21septembre2017	99	a	30	35	1.5	0.20	100	0	0	98	5	NA	2	NA	NA	0	0	45	0	0	0	0	0	0	0	0	0	0	3	0	1
a30	morgane.milin	21septembre2017	99	a	30	30	1.5	0.21	100	0	5	80	15	NA	0	NA	NA	0	0	25	0	0	0	0	0	0	0	0	0	0	8	0	0
a30	morgane.milin	21septembre2017	99	a	30	30	1.5	0.21	5	0	0	5	90	NA	85	0.17	0.0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
a30	morgane.milin	21septembre2017	99	a	30	30	1.5	0.21	100	0	20	80	65	NA	0	NA	NA	0	0	18	0	0	0	0	0	0	0	0	0	0	5	0	2
a30	morgane.milin	21septembre2017	99	a	30	25	1.1	0.21	90	0	0	10	90	NA	75	0.15	0.0	0	1	4	0	0	0	0	0	0	0	0	1	0	1	0	0
a30	morgane.milin	21septembre2017	99	a	30	25	1.1	0.22	30	0	0	25	70	NA	85	0.17	0.0	0	1	16	0	0	0	0	0	0	0	0	7	0	0	0	4
a30	morgane.milin	21septembre2017	99	a	30	25	1.1	0.21	95	0	0	25	40	NA	0	NA	NA	0	0	18	0	0	0	0	0	0	0	0	0	0	5	0	1
a30	morgane.milin	21septembre2017	99	a	30	20	1.1	0.25	100	0	1	75	95	NA	0	NA	NA	0	0	4	0	0	0	0	0	0	0	0	0	0	8	0	0
a30	morgane.milin	21septembre2017	99	a	30	20	1.1	0.26	100	0	2	75	100	NA	0	NA	NA	0	3	7	0	0	0	0	0	0	0	0	0	2	8	0	0
a30	morgane.milin	21septembre2017	99	a	30	20	1.1	0.24	100	0	0	90	70	NA	0	NA	NA	0	0	3	0	0	1	0	0	0	0	0	5	1	0	0	0
